Thu Oct 16 23:58:25 +0000 2014,"Montreal,",, Canada,1
Fri Oct 17 00:00:36 +0000 2014,Calgary,, Canada,1
Thu Oct 16 23:59:10 +0000 2014,,ON, Canada,1
Fri Oct 17 00:03:07 +0000 2014,,ON, Canada,1
Thu Oct 16 23:58:39 +0000 2014,"mazatlan,",, mexico,2
Fri Oct 17 00:01:08 +0000 2014,Scisciano,, Naples,1
Thu Oct 16 23:57:53 +0000 2014,Auckland,, New Zealand,1
Thu Oct 16 23:57:46 +0000 2014,San Juan,, Puerto Rico,2
Fri Oct 17 00:05:18 +0000 2014,"Luquillo,",, Puerto Rico,1
Thu Oct 16 23:58:15 +0000 2014,Sydney,,Australia,1
Fri Oct 17 00:00:38 +0000 2014,Sydney,,Australia,1
Fri Oct 17 00:01:15 +0000 2014,Brasilia,,BRASIL,2
Fri Oct 17 00:00:51 +0000 2014,Rio de Janeiro,,Brasilia,1
Thu Oct 16 23:58:38 +0000 2014,Recife,,Brazil,1
Fri Oct 17 00:31:29 +0000 2014,Saskatoon,SK,Canada,1
Fri Oct 17 00:04:45 +0000 2014,Sarnia,on,Canada,1
Fri Oct 17 00:32:21 +0000 2014,Ottawa,ON,Canada,1
Fri Oct 17 00:34:29 +0000 2014,orleans,ON,Canada,1
Fri Oct 17 00:00:45 +0000 2014,Hamilton,ON,Canada,1
Thu Oct 16 23:59:50 +0000 2014,Guelph,ON,Canada,1
Fri Oct 17 00:03:31 +0000 2014,Alberta,,Canada,1
Fri Oct 17 00:06:12 +0000 2014,Chatsworth,ON,Canada ,1
Fri Oct 17 00:09:47 +0000 2014,Santiago,,Chile,1
Fri Oct 17 00:09:25 +0000 2014,Beijing,,China,1
Fri Oct 17 00:08:34 +0000 2014,Santa Marta,,Colombia,1
Thu Oct 16 23:58:35 +0000 2014,Bogota,,Colombia,1
Fri Oct 17 00:03:18 +0000 2014,Bogota,,Colombia,2
Thu Oct 16 23:57:55 +0000 2014,Quito,,Ecuador,6
Fri Oct 17 00:40:50 +0000 2014,Quito,,Ecuador,21
Thu Oct 16 23:58:07 +0000 2014,Cairo,,Egypt,1
Thu Oct 16 23:57:46 +0000 2014,Berlin,,gERMANY,1
Fri Oct 17 00:00:16 +0000 2014,,,greece,1
Thu Oct 16 23:59:15 +0000 2014,,,Haiti,1
Fri Oct 17 00:03:07 +0000 2014,Maui,,Hawaii,8
Thu Oct 16 23:59:35 +0000 2014,,,Hawaii,2
Thu Oct 16 23:58:03 +0000 2014,Hong Kong,,Hong Kong,1
Fri Oct 17 00:08:29 +0000 2014,Mumbai,,India,1
Thu Oct 16 23:59:43 +0000 2014,jakarta,,indonesia,1
Thu Oct 16 23:58:25 +0000 2014,Tehran,,Iran,1
Fri Oct 17 00:01:46 +0000 2014,,,iraq,1
Fri Oct 17 00:00:06 +0000 2014,Rome,,Italy,2
Fri Oct 17 00:30:47 +0000 2014,Tokyo,,Japan,2
Fri Oct 17 00:08:41 +0000 2014,Almaty,,Kazakhstan,1
Thu Oct 16 23:57:50 +0000 2014,Seoul,,Korea,1
Fri Oct 17 00:33:10 +0000 2014,Seoul,,Korea,1
Thu Oct 16 23:59:43 +0000 2014,Monterrey,,Mexico,1
Fri Oct 17 00:00:11 +0000 2014,Mexico City,,Mexico,1
Fri Oct 17 00:00:59 +0000 2014,Casablanca,,Morocco,1
Thu Oct 16 23:59:48 +0000 2014,"Casablanca,",,Morocco ,1
Fri Oct 17 00:02:12 +0000 2014,Kenya,,Nairobi ,1
Fri Oct 17 00:00:02 +0000 2014,Wellington,,New Zealand,1
Thu Oct 16 23:58:23 +0000 2014,lekki,,Nigeria,1
Fri Oct 17 00:02:56 +0000 2014,Abuja,,nigeria,2
Thu Oct 16 23:59:35 +0000 2014,Trondheim,,norway,1
Fri Oct 17 00:04:45 +0000 2014,Islamabad,,Pakistan,1
Thu Oct 16 23:59:17 +0000 2014,,,Panama ,1
Fri Oct 17 00:04:48 +0000 2014,Taipei,,philippines,1
Thu Oct 16 23:59:58 +0000 2014,Manila,,Philippines,1
Thu Oct 16 23:58:32 +0000 2014,Makati,,Philippines,1
Fri Oct 17 00:03:57 +0000 2014,Lisbon,,portugal,1
Thu Oct 16 23:58:18 +0000 2014,San Sebastian,,Puerto Rico,2
Fri Oct 17 00:00:28 +0000 2014,,,Puerto Rico,1
Fri Oct 17 00:03:50 +0000 2014,,,Republica Dominicana,1
Fri Oct 17 00:03:41 +0000 2014,Milano,,Rome,2
Thu Oct 16 23:59:23 +0000 2014,Moscow,,Russia,1
Thu Oct 16 23:58:10 +0000 2014,Kaliningrad,,Russia,1
Fri Oct 17 00:09:41 +0000 2014,Irkutsk,,Russia,1
Thu Oct 16 23:59:19 +0000 2014,Sacramento,CA,Sacramento,1
Fri Oct 17 00:00:57 +0000 2014,Salt Lake City,UT,Salt Lake City. Utah,1
Fri Oct 17 00:05:40 +0000 2014,San Diego,CA,San Diego || Tuscaloosa ,1
Fri Oct 17 00:07:00 +0000 2014,san jose,CA,San Jose CA,2
Fri Oct 17 00:04:58 +0000 2014,Riyadh,,Saudi Arabia,1
Fri Oct 17 00:37:08 +0000 2014,Jeddah,,Saudi Arabia,2
Fri Oct 17 00:02:44 +0000 2014,Belgrade,,Serbia,1
Fri Oct 17 00:07:35 +0000 2014,,,singapore,2
Fri Oct 17 00:09:29 +0000 2014,Madrid,,Spain,1
Fri Oct 17 00:03:34 +0000 2014,Geneva,,Switzerland,1
Fri Oct 17 00:08:38 +0000 2014,Bangkok,,Thailand,2
Fri Oct 17 00:09:29 +0000 2014,Amsterdam,,The Netherlands,1
Fri Oct 17 00:01:58 +0000 2014,Istanbul,,Turkey,1
