Thu Oct 16 21:06:20 +0000 2014,Kyiv,Ukraine,Kyiv,3
Thu Oct 16 21:18:05 +0000 2014,Istanbul,,Turkey,11
Thu Oct 16 21:10:14 +0000 2014,Honolulu,HI,USA,1
Thu Oct 16 21:25:38 +0000 2014,Baghdad,,Iraq,2
Thu Oct 16 19:57:37 +0000 2014,Avukat,,Turkey,1
Thu Oct 16 20:55:09 +0000 2014,Athens,,Greece,4
Thu Oct 16 20:09:10 +0000 2014,ankara,,Turkey,1
Thu Oct 16 20:11:16 +0000 2014,,,turkey,2
